mijiadezhongshifensi	米_家__的_忠____实__粉__丝_
pro5xingjiabishuozhendemeiyoumantougao	pro5性___价__比_说___真___的_没__有__馒__头__高__
zhidaochulepro5hemantou	直__到__出__了_pro5和_馒__头__
mailezheliangkuan	买__了_这__两____款___
yigongmaiguo4kuanmeizu	一_共___买__过__4款___魅__族_
peizhidangranmeiyounote3gao	配__置__当___然__没__有__note3高__
danshiniyaozhizaihunadianpeizhi	但__是__你_要__只__在__乎_那_点___配__置__
buzaihuzuogongdehuanasuibianle	不_在__乎_做__工___的_话__那_随__便___了_
meizumantoushuozhende	魅__族_馒__头__说___真___的_
jueduibihongminote3hao	绝__对__比_红___米_note3好__
congpingmudaozuogong	从___屏___幕_到__做__工___
houlaikaishiyonglianggeshoujika	后__来__开__始__用___两____个_手___机_卡_
meizudoushidankajiumeimaiguole	魅__族_都__是__单__卡_就__没__买__过__了_
fanzhengzhiyaobukaqishiyidianpeizhiyequbiebuleduoshao	反__正____只__要__不_卡_其_实__一_点___配__置__也_区_别__不_了_多__少___
sudukuai	速_度_快___
waiguanbucuo	外__观___不_错__
shangwangkuai	上____网___快___
zhidexinlai	值__得_信__赖__
tingmanyide	挺___满__意_的_
ganggangshoudaohuo	刚___刚___收___到__货__
zuotianwanshangjiudianpaide	昨__天___晚__上____九__点___拍__的_
zhongwujiusongdaole	中____午_就__送___到__了_
xifujingchangyongwoderongyao6wan	媳_妇_经___常____用___我_的_荣___耀__6玩__
yexianghuange	也_想____换___个_
maixinbumaijiu	买__新__不_买__旧__
jiuxuanzelezhekuanshouji	就__选___择_了_这__款___手___机_
jingdongkuaidizanyige	京___东___快___递_赞__一_个_
budanwumingtiandechucha	不_耽__误_明___天___的_出__差__
meiyouxiaci	没__有__瑕__疵_
shiwanleyixia	试__玩__了_一_下__
xitongyebucuo	系_统___也_不_错__
shoujihaixing	手___机_还__行___
meizushoujibaozhuangtaihaole	魅__族_手___机_包__装_____太__好__了_
biwodehuaweihaohenduo	比_我_的_华__为__好__很__多__
wuliukuai	物_流__快___
haoyong	好__用___
yangzihao	样___子_好__
tingmanyide	挺___满__意_的_
bangtongshimaide	帮___同___事__买__的_
zaijingdongmailehaojigeshoujile	在__京___东___买__了_好__几_个_手___机_了_
wozhixinlaijingdong	我_只__信__赖__京___东___
songhuosuduchaokuai	送___货__速_度_超___快___
baozhuanggenzhuanmaidiandeyiyang	包__装_____跟__专____卖__店___的_一_样___
henbucuodeshouji	很__不_错__的_手___机_
mailelianggele	买__了_两____个_了_
suduhenkuai	速_度_很__快___
xianzaishoujidaoshou	现___在__手___机_到__手___
henduoyilvdouyisaoerkong	很__多__疑_虑_都__一_扫__而_空___
zhiwenshibiesuduhenkuai	指__纹__识__别__速_度_很__快___
xitongshifenliuchang	系_统___十__分__流__畅____
muqianmeiyoufaxiankadun	目_前___没__有__发_现___卡_顿__
bijingshixinji	毕_竟___是__新__机_
duiba	对__吧_
fangsimkadeweizhishiyouxiesongdong	放___sim卡_的_位__置__是__有__些__松___动___
henduorendoufanyingguo	很__多__人__都__反__应___过__
woyezhongshenyixia	我_也_重____审___一_下__
hougaibiaoxiandebingbuwanmei	后__盖__表___现___的_并___不_完__美__
meiyousuliaodeshunhua	没__有__塑_料___的_顺___滑__
youzhongyaguangdebupinggan	有__种____亚_光____的_不_平___感__
hougaishangbuxianjiededefangyoumingxiandeaotugan	后__盖__上____部_衔___接__的_地_方___有__明___显___的_凹_凸_感__
ciwaikaiguanjiheyinliangjianhaishishouganlveying	此_外__开__关___机_和_音__量____键___还__是__手___感__略__硬___
shuodesuiranhenduo	说___的_虽__然__很__多__
danzhexiedoushijidanlitiaogutoudexijiemaobing	但__这__些__都__是__鸡_蛋__里_挑___骨_头__的_细_节__毛__病___
ruguoshoujiqueshihaoyong	如_果__手___机_确__实__好__用___
zhexiegenbenbuzhongyao	这__些__根__本__不_重____要__
meilanmetalshoujiyanzhibucuo	魅__蓝__metal手___机_颜__值__不_错__
dajiayoumugongdu	大_家__有__目_共___睹_
dounengkandedao	都__能___看__的_到__
huancunkaijizhihoudayueyou800keyong	缓___存__开__机_之__后__大_约__有__800可_用___
neizhiruanjianbuduo	内__置__软___件___不_多__
weixindengdouxuyaozixingxiazai	微__信__等___都__需_要__自_行___下__载__
xianzaijiandanjieshaoyixiawoshiyongdeyixieyijian	现___在__简___单__介__绍___一_下__我_使__用___的_一_些__意_见___
xiwangduihaixiangmaizhekuanshoujidemaijiayousuobangzhu	希_望___对__还__想____买__这__款___手___机_的_买__家__有__所__帮___助__
henduoxiangmaizhekuanshoujidedouzaiguanwang	很__多__想____买__这__款___手___机_的_都__在__观___望___
woyeyiyang	我_也_一_样___
zhenjiyiyanghenpiaoliang	真___机_一_样___很__漂___亮____
shuotahouderenwobuzhidaonimenpingshiyongdeshoujishizenmeyangde	说___它_厚__的_人__我_不_知__道__你_们__平___时__用___的_手___机_是__怎__么_样___的_
danshizhekuanwojuedehaihao	但__是__这__款___我_觉__得_还__好__
qimabiwodeoppo3007haiyaobaoyidian	起_码_比_我_的_oppo3007还__要__薄__一_点___
pingmuquedadexiren	屏___幕_却__大_的_喜_人__
zhengzaimosuozhong	正____在__摸_索__中____
tingbucuode	挺___不_错__的_
bimoumidezuogongqianghaoduo	比_某__米_的_做__工___强____好__多__
yanzhiyaogaohenduo	颜__值__要__高__很__多__
songhuohenkuai	送___货__很__快___
shoujitiyanbucuo	手___机_体_验__不_错__
yehenpiaoliang	也_很__漂___亮____
zhejiaweihenhaole	这__价__位__很__好__了_
geipengyoumaide	给__朋___友__买__的_
wozhiqianyongguo	我_之__前___用___过__
houlaimaidiaole	后__来__卖__掉___了_
zhishibuxihuannagepingmu	只__是__不_喜_欢___那_个_屏___幕_
chulepingmuqitadouhenbucuo	除__了_屏___幕_其_他_都__很__不_错__
yebushipingmubuhao	也_不_是__屏___幕_不_好__
zhishiwozhiqianyongsanxing	只__是__我_之__前___用___三__星___
kansanxingpingmukanxiguanle	看__三__星___屏___幕_看__习_惯___了_
kanqitapingmudoubuxihuan	看__其_他_屏___幕_都__不_喜_欢___
pengyoushuohenhao	朋___友__说___很__好__
xingjiabihewaiguandoushizuihaodele	性___价__比_和_外__观___都__是__最__好__的_了_
zhenxinzhidegoumai	真___心__值__得_购__买__
haoyong	好__用___
shoujibang	手___机_棒___
meiyourangwoshiwang	没__有__让___我_失__望___
wangsuganggangde	网___速_杠___杠___的_
xiangxinmeizu	相____信__魅__族_
zanlehaojigeyuele	攒__了_好__几_个_月__了_
yinggaibuhuishiwang	应___该__不_会__失__望___
waiguanpiaoliang	外__观___漂___亮____
shouganhenhao	手___感__很__好__
zan	赞__
gangnadaoshouji	刚___拿_到__手___机_
haimeiyong	还__没__用___
xiangxinmeizu	相____信__魅__族_
geihaoping	给__好__评___
feichanghao	非__常____好__
farekongzhihenhao	发_热_控___制__很__好__
heibianjibenmeiyou	黑__边___基_本__没__有__
shoujibucuo	手___机_不_错__
jingdongwuliuhengeili	京___东___物_流__很__给__力_
jiushimeishenmeyouhui	就__是__没__什___么_优__惠__
shoujihenpiaoliang	手___机_很__漂___亮____
xitongliuchang	系_统___流__畅____
henman	很__满__
haoshouji	好__手___机_
yaoshibuqianggouhuotaocangaiyouduohao	要__是__不_抢____购__或__套__餐__该__有__多__好__
haiyoufenpingguanli	还__有__分__屏___管___理_
flymexitongwogeimanfen	flyme系_统___我_给__满__分__
lingwaizhiwenjiesuochaoshuang	另___外__指__纹__解__锁__超___爽_____
haiyoushuangjiliangpingdenggezhongshoushi	还__有__双_____击_亮____屏___等___各_种____手___势__
5dpingmubimx5moqilaishuangbaole	5d屏___幕_比_mx5摸_起_来__爽_____爆__了_
chongdianyemankuaide	充____电___也_蛮__快___的_
dianchiqueshiyoudianbugouyong	电___池__确__实__有__点___不_够__用___
erqiefashengleyidianguzhang	而_且__发_生____了_一_点___故_障____
yongdaobaifenzhi52shikale	用___到__百__分__之__52时__卡_了_
qianmiandiaodiankuai	前___面___掉___电___快___
daobaifenzhiwushieryizhiyongleqibafenzhongcaidaobaifenzhiwushiyi	到__百__分__之__五_十__二_一_直__用___了_七_八_分__钟____才__到__百__分__之__五_十__一_
haodanxinchuwentia	好__担__心__出__问__题_啊
danshihaishibuyingxiangshiyong	但__是__还__是__不_影___响____使__用___
tinghaode	挺___好__的_
bangpengyoumaide	帮___朋___友__买__的_
tatingxihuan	他_挺___喜_欢___
bucuo	不_错__
bucuo	不_错__
bucuo	不_错__
bucuo	不_错__
bucuo	不_错__
kuai	块___
biaoshibishikunbangxiaoshou	表___示__鄙_视__捆__绑___销___售___
haimeishiyong	还__没__使__用___
danwuliuhewaiguandouhenmanyi	但__物_流__和_外__观___都__很__满__意_
guanwangmeihuo	官___网___没__货__
zhinengzaijingdongmai	只__能___在__京___东___买__
danquebangdingleyigeerji	但__却__绑___定___了_一_个_耳_机_
gui	贵__
huoshoudaole	货__收___到__了_
xianyong	先___用___
yihouyouwentizaishuo	以_后__有__问__题_再__说___
henhao	很__好__
liuchang	流__畅____
shouganhenhao	手___感__很__好__
2gneicungerengouyong	2g内__存__个_人__够__用___
gangnadao	刚___拿_到__
shiyongzhong	试__用___中____
yongduanshijiankankanba	用___段___时__间___看__看__吧_
xianzaihaibucuoba	现___在__还__不_错__吧_
zhendonghenqiang	震___动___很__强____
dongtianzaiyurongfulinengganjuededao	冬___天___在__羽_绒___服_里_能___感__觉__的_到__
yonggedaquexianjiushihuxideng	用___个_大_缺__陷___就__是__呼_吸_灯___
bunengdiao	不_能___调___
bucuo	不_错__
yuanzhuangmeichaifengde	原___装_____没__拆___封___的_
kaijikanlexiatinghaode	开__机_看__了_下__挺___好__的_
pingmuyekeyi	屏___幕_也_可_以_
yansetingxianyan	颜__色_挺___鲜___艳__
henbucuodeshouji	很__不_错__的_手___机_
suduhenkuai	速_度_很__快___
genyiqiandemijibushiyigedangci	跟__以_前___的_米_机_不_是__一_个_档___次_
waiguan	外__观___
shougan	手___感__
sudu	速_度_
doubucuo	都__不_错__
jiushijiageyoudiangui	就__是__价__格_有__点___贵__
jintiangangdaoshou	今__天___刚___到__手___
queshipiaoliang	确__实__漂___亮____
xitongliuchangduzhendebiwodemx3hao	系_统___流__畅____度_真___的_比_我_的_mx3好__
wangshangshuodepingmuyoukeliganwoshizhendemeikanchulai	网___上____说___的_屏___幕_有__颗_粒_感__我_是__真___的_没__看__出__来__
shujujiekouchuyouyidiandianguashoudaoshizhende	数__据_接__口__出__有__一_点___点___刮__手___倒__是__真___的_
zhiwenjiesuozhendehenkuaihenhaoyong	指__纹__解__锁__真___的_很__快___很__好__用___
zhaoxianggongnenghaimeizenmeyonghaibuhaoshuo	照___相____功___能___还__没__怎__么_用___还__不_好__说___
jibenshangshimanyide	基_本__上____是__满__意_的_
wuliuhenkuai	物_流__很__快___
diertianjiudaole	第_二_天___就__到__了_
baozhuangheyouhaoduohuichen	包__装_____盒_有__好__多__灰__尘___
kanqilaixiangershoude	看__起_来__像____二_手___的_
yongqilaihenliuchang	用___起_来__很__流__畅____
zhiwenjiesuokaishibuhaoyong	指__纹__解__锁__开__始__不_好__用___
xitongshengwanjijiuhaoyongduole	系_统___升____完__级_就__好__用___多__了_
shibiesuduhenkuai	识__别__速_度_很__快___
jinnianzuizhidemaideshouji	今__年___最__值__得_买__的_手___机_
manyideyicigouwu	满__意_的_一_次_购__物_
shoujipiaoliang	手___机_漂___亮____
wuliuchaokuai	物_流__超___快___
zaijiajixing	再__加__几_星___
xiaoxiaoyihanmeierji	小___小___遗_憾__没__耳_机_
shoujibucuo	手___机_不_错__
tuile	退__了_
huangejinsede	换___个_金__色_的_
bucuo	不_错__
zheshimaidiergele	这__是__买__第_二_个_了_
gefangmiandoubucuo	各_方___面___都__不_错__
bucuo	不_错__
zhenxinbucuo	真___心__不_错__
wuliuyoukuai	物_流__又__快___
henhaoyong	很__好__用___
kuaidisudukuai	快___递_速_度_快___
zuotianxiawuxiadan	昨__天___下__午_下__单__
jintianzaoshangjiudao	今__天___早__上____就__到__
pengyoushuomeizuhaoyong	朋___友__说___魅__族_好__用___
maigeshishi	买__个_试__试__
xiwanghaoyong	希_望___好__用___
bangtongshimaide	帮___同___事__买__的_
yijingdiertaile	已_经___第_二_台__了_
zhiliangfeichanghao	质__量____非__常____好__
meiguandafang	美__观___大_方___
yonglaipoweishunshou	用___来__颇_为__顺___手___
zuogongzhidekending	做__工___值__得_肯__定___
feichangniubideqianyuanshenqi	非__常____牛__逼_的_千___元___神___奇_
wobuzhidaonaxieshuobuhaoderen	我_不_知__道__那_些__说___不_好__的_人__
shishenmeyisi	是__什___么_意_思_
yiqianduomaizhegeshoujizhile	一_千___多__买__这__个_手___机_值__了_
xiwangnimenyaoyouliangxin	希_望___你_们__要__有__良____心__
xitongyongzhehenshufu	系_统___用___着__很__舒__服_
bucuo	不_错__
xinhaoyewending	信__号__也_稳__定___
shoujiqueshibucuo	手___机_确__实__不_错__
pianyi	便___宜_
shiyong	实__用___
shouganyebucuo	手___感__也_不_错__
daqi	大_气_
yonglezaizhuiping	用___了_再__追___评___
dakaibaozhuangkanleyebucuo	打_开__包__装_____看__了_也_不_错__
kuaidihenkuai	快___递_很__快___
zuotianmaide	昨__天___买__的_
jintianjiudaole	今__天___就__到__了_
zhengzaishiyongzhong	正____在__使__用___中____
baozhuangbucuo	包__装_____不_错__
haopiaoliangdewaixing	好__漂___亮____的_外__形___
zhiwenshibie	指__纹__识__别__
yunxingshadeyehenkuai	运__行___啥__的_也_很__快___
shoujibucuo	手___机_不_错__
maigeizijifuqinshiyong	买__给__自_己_父_亲__使__用___
gangganghao	刚___刚___好__
wuliuchaokuaide	物_流__超___快___的_
zuotianmaidejintianjiudaole	昨__天___买__的_今__天___就__到__了_
shoujishibangpengyoumaide	手___机_是__帮___朋___友__买__的_
kanzhebucuo	看__着__不_错__
buzhidaoyongqilaizenmeyang	不_知__道__用___起_来__怎__么_样___
zaijingdongmaileliangbuzhegeshoujile	在__京___东___买__了_两____部_这__个_手___机_了_
tinghaoyongde	挺___好__用___的_
tingbucuode	挺___不_错__的_
zhidexinlai	值__得_信__赖__
diercimaizhegele	第_二_次_买__这__个_了_
maigeitongxue	买__给__同___学__
haimeikaishiyong	还__没__开__始__用___
denglehenjiule	等___了_很__久__了_
fahuosudukuai	发_货__速_度_快___
henmanyi	很__满__意_
shoujiyehenbucuo	手___机_也_很__不_错__
gongnengyehenquan	功___能___也_很__全___
shoujibucuo	手___机_不_错__
shangwangsudukuai	上____网___速_度_快___
waiguankanshangqubucuo	外__观___看__上____去_不_错__
shoujitingbucuo	手___机_挺___不_错__
yunxingsudutingkuai	运__行___速_度_挺___快___
youdianquedianjiushikacaoyouxietuqi	有__点___缺__点___就__是__卡_槽__有__些__凸_起_
buyingxiangshiyong	不_影___响____使__用___
800yuandeshouji	800元___的_手___机_
gaiyoudegongnengdouyoule	该__有__的_功___能___都__有__了_
feichangdechaozhi	非__常____的_超___值__
weiyiyidianbuzujiushipaizhaoxiaoguobutaihao	唯__一_一_点___不_足_就__是__拍__照___效___果__不_太__好__
mailesantaile	买__了_三__台__了_
suoyiduodebujieshi	所__以_多__的_不_解__释__
haoyong	好__用___
fahuosudutaikuaile	发_货__速_度_太__快___了_
kuaidiyuantaiduheai	快___递_员___态__度_和_蔼_
shoujizhiliangdaihouping	手___机_质__量____待__后__评___
shoujishoudaole	手___机_收___到__了_
fahuohenkuai	发_货__很__快___
shangwujiushoudaole	上____午_就__收___到__了_
xiawushiyonglecailaipinglun	下__午_使__用___了_才__来__评___论__
henkuai	很__快___
shouganhenhao	手___感__很__好__
zhegejiazhi	这__个_价__值__
shoujifahuozhenkuai	手___机_发_货__真___快___
yitiandoudaole	一_天___都__到__了_
jingdongdongxizhengpin	京___东___东___西_正____品__
henhaohenxihuan	很__好__很__喜_欢___
haoping	好__评___
shoujihenbang	手___机_很__棒___
wuliuhenkuai	物_流__很__快___
kuaidishifuhenbang	快___递_师__傅_很__棒___
dongxiyisongdaojiudakaile	东___西_一_送___到__就__打_开__了_
haibucuo	还__不_错__
shiyongguozailai	是__用___过__再__来__
wuliuhenkuai	物_流__很__快___
shoujiyehenhao	手___机_也_很__好__
wusunhuai	无_损__坏___
shoujihenhaoyong	手___机_很__好__用___
jidongzhong	激_动___中____
yicijiumaileliangge	一_次_就__买__了_两____个_
jingdongkuaidizhenxinwudile	京___东___快___递_真___心__无_敌_了_
chaokuaide	超___快___的_
zhongshidemeizufensi	忠____实__的_魅__族_粉__丝_
zheshiwomaidedisanbumeilannotele	这__是__我_买__的_第_三__部_魅__蓝__note了_
jiarendouzaiyong	家__人__都__在__用___
yunxingliuchang	运__行___流__畅____
pingmudawanyouxikanshipinhenhao	屏___幕_大_玩__游__戏_看__视__频__很__好__
xiangjixiangsuyetinggaodeluxiangfenbianlvyebucuo	相____机_像____素_也_挺___高__的_录_像____分__辨___率_也_不_错__
zhecixiangqiangfensedemeiqiangdao	这__次_想____抢____粉__色_的_没__抢____到__
tinghaode	挺___好__的_
geibierenmaileyitai	给__别__人__买__了_一_台__
zijiyitai	自_己_一_台__
henhaoyong	很__好__用___
henhao	很__好__
shoujihenhao	手___机_很__好__
diercimaile	第_二_次_买__了_
shangcimaidenataigeixiaomeiyongle	上____次_买__的_那_台__给__小___妹__用___了_
zhecishiwozijide	这__次_是__我_自_己_的_
songhuokuai	送___货__快___
fuwuhao	服_务_好__
zhiliangyou	质__量____优__
erjishengyinbushihenhao	耳_机_声____音__不_是__很__好__
wuliuhenkuai	物_流__很__快___
shoujima	手___机_嘛_
zanshihaibucuo	暂__时__还__不_错__
dengjitianhouzaikanba	等___几_天___后__再__看__吧_
maigeibierenyongde	买__给__别__人__用___的_
